Lat 	Long
31.905495	-102.245912
31.52001126	-103.3840881
31.526838	-103.365547
31.52642035	-103.3655479
31.526944	-103.365694
31.52643959	-103.3654935
31.527024	-103.366069
31.527024	-103.366069
31.5269247	-103.3659312
31.53469824	-103.3797362
31.5348746	-103.3795633
31.5348746	-103.3795633
31.678435	-104.220715
31.52995261	-103.3991305
31.52995261	-103.3991305
31.52912976	-103.3985155
31.52909365	-103.3984683
32.38430768	-102.2201779
32.368966	-102.199774
32.12882685	-102.1221046
32.13005916	-102.1120748
32.13332986	-102.1324336
32.13332986	-102.1324336
32.13332986	-102.1324336
