Demand	TW_early	TW_Late	TW_service_time	 TW_wait_cost
0	0	14	0	0
350	0	14	0	0
350	0	14	0	0
350	0	14	0	0
350	0	14	0	0
375	0	14	0	0
183	0	14	0	0
184	0	14	0	0
184	0	14	0	0
183	0	14	0	0
183	0	14	0	0
183	0	14	0	0
55	0	14	0	0
110	0	14	0	0
110	0	14	0	0
275	0	14	0	0
110	0	14	0	0
220	0	14	0	0
20	0	14	0	0
55	0	14	0	0
75	0	14	0	0
20	0	14	0	0
110	0	14	0	0
75	0	14	0	0
30	0	14	0	0
20	0	14	0	0
30	0	14	0	0
30	0	14	0	0
110	0	14	0	0
220	0	14	0	0
165	0	14	0	0
220	0	14	0	0
30	0	14	0	0
300	0	14	0	0
500	0	14	0	0
500	0	14	0	0
485	0	14	0	0
100	0	14	0	0
100	0	14	0	0
100	0	14	0	0
225	0	14	0	0
225	0	14	0	0
225	0	14	0	0
225	0	14	0	0
150	0	14	0	0
200	0	14	0	0
150	0	14	0	0
225	0	14	0	0
100	0	14	0	0
100	0	14	0	0
100	0	14	0	0
