Lat 	Long
31.905495	-102.245912
31.57611196	-103.8036393
31.57611196	-103.8036393
31.56839051	-103.8183094
31.6945221	-103.7816434
31.79748356	-103.672212
31.79750338	-103.6722225
31.79750338	-103.6722225
31.79709108	-103.6133456
31.79710964	-103.6132512
31.79710964	-103.6132512
31.7962344	-103.6130813
31.79730167	-103.6110602
31.79730167	-103.6110602
31.79730167	-103.6110602
31.79730167	-103.6110602
31.79730167	-103.6110602
31.79675018	-103.60598
31.79675018	-103.60598
31.79675018	-103.60598
31.79675018	-103.60598
31.79675018	-103.60598
31.79751411	-103.604898
31.79745707	-103.6048695
31.795315	-102.112405
31.79563531	-102.1107596
31.7957	-102.110324
31.30834465	-102.5335213
31.315093	-102.548944
31.31643851	-102.5489163
31.32454934	-102.5603586
31.65319324	-103.777191
31.70731035	-103.7816341
31.70730761	-103.7873177
31.712357	-102.149627
31.713362	-102.144562
31.712963	-102.146202
31.712993	-102.146078
31.713422	-102.144315
31.79479226	-102.1148034
31.98650352	-102.7957723
31.92570962	-103.0296995
31.92710097	-103.0413522
31.930592	-103.057109
31.30167643	-102.7415589
