Lat 	Long
31.905495	-102.245912
31.94266155	-103.5538339
31.94264611	-103.5537224
31.94264459	-103.5540134
31.94264421	-103.5539166
31.94027226	-103.5396412
31.94048109	-103.5321467
31.94048109	-103.5321467
31.94048109	-103.5321467
31.94048109	-103.5321467
31.94048109	-103.5321467
31.94048109	-103.5321467
31.99299799	-102.6463398
31.9917871	-102.65692
31.99667667	-102.67407
31.97817832	-102.649528
31.97713654	-102.6571947
31.97855949	-102.6664963
31.99468296	-102.6614663
31.99474788	-102.6614437
31.98150393	-102.6560922
31.98233147	-102.6518453
31.97593461	-102.6631546
31.97437977	-102.6538062
31.9917871	-102.65692
31.99667667	-102.67407
31.97817832	-102.649528
31.97713654	-102.6571947
31.99468296	-102.6614663
31.99474788	-102.6614437
31.98233147	-102.6518453
31.98233147	-102.6518453
31.97593461	-102.6631546
32.40035982	-102.2866956
32.42146	-102.119
31.93462356	-101.6665812
31.93280796	-101.6586325
31.55412489	-103.8113907
31.599425	-103.842764
31.60023374	-103.8338247
31.8554	-103.9059
31.85556604	-103.8953098
31.8554	-103.9059
31.8554	-103.9059
31.70745676	-103.7738893
31.70730761	-103.7873177
31.70731035	-103.7816341
31.70612538	-103.7827695
31.65299912	-103.7842094
31.65188722	-103.7789615
31.67520073	-103.7126762
