Lat 	Long
31.905495	-102.245912
31.267563	-103.085591
32.19637347	-102.0996971
31.76767491	-103.1721017
31.76755602	-103.1719452
31.910132	-102.1630742
31.910132	-102.1630742
31.84562259	-102.1608335
31.98650352	-102.7957723
31.98650352	-102.7957723
32.04286957	-102.8057327
32.03350449	-102.7471313
32.0387362	-102.7468803
31.97529361	-102.6658104
32.010926	-102.6517664
32.01352292	-102.6521737
31.97809828	-102.6395627
31.97906563	-102.6397403
31.82103084	-103.4203189
31.64355075	-103.4715732
31.9459082	-101.6550066
32.14083745	-102.2343445
32.140867	-102.2340309
