crmrte	prbarr	prbpris	avgsen	polpc	taxpc
0.035603601	0.298269987	0.436170012	6.710000038	0.00182786	30.99368095
0.0129603	0.444444001	0.600000024	6.760000229	0.00123431	34.81605148
0.0267532	0.364760011	0.435483992	7.139999866	0.00152994	42.94758606
0.0106232	0.518218994	0.442622989	8.220000267	0.00086018	28.054739
0.0146067	0.524663985	0.5	13	0.00288203	35.22974014
0.0296409	0.365004003	0.420832992	10.55000019	0.00133771	30.69648743
0.020281401	0.392111003	0.507691979	10.64000034	0.00103525	34.0030365
0.030428899	0.251599014	0.436892986	7.320000172	0.00129761	34.96203613
0.0437355	0.234760001	0.429071993	10.61999989	0.00182958	52.62629318
0.0269836	0.289121002	0.365956992	7.070000172	0.00146111	29.08280373
0.0302542	0.323547989	0.492646992	8.010000229	0.0019714	33.03620529
0.0382489	0.268018007	0.321429014	11.68999958	0.00145013	43.06339264
0.015918899	0.27094999	0.479999989	7.320000172	0.00075593	27.38109779
0.040856902	0.26602599	0.370370001	10.06000042	0.00189444	56.86210632
0.022601699	0.321866989	0.316832006	8.68999958	0.00130501	34.7024765
0.0119154	0.308333009	0.291667014	11.57999992	0.00119154	27.27564049
0.025771299	0.307246	0.520833015	17.40999985	0.00149399	41.76928711
0.036280699	0.202627003	0.474819988	8.960000038	0.00121531	30.84900284
0.031362299	0.182926998	0.270741999	7.789999962	0.00128127	32.66049576
0.0374979	0.264420003	0.356889993	8.699999809	0.00148532	39.23048401
0.088384897	0.155248001	0.407628	11.93000031	0.00190802	35.69936371
0.0140655	0.303191006	0.25	11.96000004	0.00112225	50.38139343
0.079016298	0.224628001	0.304347992	13.56999969	0.00400962	119.7614517
0.0300216	0.222002	0.320623994	10.47000027	0.00136191	28.59199333
0.0233327	0.227752998	0.425532013	6.5	0.00119655	41.07194138
0.023367699	0.398119003	0.361701995	8.770000458	0.00141622	32.59960938
0.070659898	0.133224994	0.363635987	11.51000023	0.00237609	50.1991806
0.065880097	0.287330002	0.403921992	9.840000153	0.00185739	30.6282444
0.061417699	0.217215002	0.488426	10.56999969	0.00217747	45.89987183
0.017315799	0.283504993	0.418033004	9.100000381	0.00107108	35.37641907
0.0441957	0.190876007	0.488094985	9.600000381	0.00246711	29.7058754
0.015675901	0.411538005	0.454544991	6.190000057	0.00102496	37.50189209
0.060449801	0.300215006	0.431019992	14.42000008	0.00243562	44.21059036
0.031575199	0.456393987	0.410255998	7.849999905	0.00138532	41.08650208
0.0490712	0.146132007	0.428570986	8.779999733	0.0014373	27.16142654
0.028678101	0.215108007	0.341463	11.10999966	0.0016918	32.82694244
0.0283836	0.296645999	0.415524989	5.510000229	0.00126447	32.48096466
0.038426299	0.343073994	0.454544991	8.789999962	0.00162189	31.85297585
0.036222201	0.338901997	0.48466301	5.449999809	0.00142641	27.47966957
0.0334506	0.302231014	0.409774005	6.619999886	0.00152665	29.97040367
0.0409403	0.149936005	0.473881006	9.649999619	0.00140045	34.87021255
0.051415201	0.381399989	0.381410003	8.81000042	0.00195614	67.84797668
0.049755201	0.212895006	0.450215995	8.470000267	0.00168747	53.17795944
0.023099501	0.162769005	0.411765009	9.119999886	0.00108043	27.32159615
0.018304801	0.202112004	0.542856991	11.06000042	0.00118719	29.58238602
0.0142071	0.179877996	0.461537987	6.389999866	0.001516	40.80142212
0.0268723	0.370474011	0.236966997	11.82999992	0.00119765	38.81492615
0.098965898	0.149094	0.486182988	7.130000114	0.00223135	75.67243195
0.0300184	0.487430006	0.443037987	6.489999771	0.00176086	38.45733643
0.026628699	0.269042999	0.396450013	7.360000134	0.00200971	48.15414047
0.083498202	0.236600995	0.415158004	9.569999695	0.00255849	67.67963409
0.0189848	0.689023972	0.401786	9.970000267	0.00121549	37.70005798
0.055128701	0.266959995	0.334951013	8.989999771	0.00154457	27.46926308
0.062897198	0.092770003	0.385592997	11.92000008	0.00233871	35.99247742
0.024347	0.522696018	0.345454991	14.22000027	0.00167448	29.49914742
0.031461	0.238636002	0.487179011	13.18000031	0.00127115	35.97389603
0.0265806	0.317856997	0.25	9.359999657	0.00085438	31.22778511
0.029985599	0.35473299	0.594595015	8.470000267	0.0013704	44.64757919
0.055168599	0.221542001	0.44313699	7.730000019	0.00218874	36.18621063
0.0264557	0.299198002	0.340425998	12.56999969	0.0013243	25.69286537
0.0317563	0.345367998	0.458332986	11.32999992	0.00138447	37.2283287
0.0312279	0.408199996	0.386543989	8.710000038	0.00145925	31.37445641
0.030590801	0.278286994	0.377709001	7.480000019	0.00191777	39.16965103
0.036233	0.243589997	0.476563007	8.640000343	0.00158619	27.76489449
0.020006999	0.482425004	0.451613009	7.980000019	0.00124824	31.34530258
0.0215728	0.310986996	0.455224007	11.25	0.00136587	34.01290894
0.050834101	0.34067899	0.432835996	7.420000076	0.00151382	38.74739456
0.023828501	0.362269998	0.371428996	10.47999954	0.00155144	35.09686279
0.0121033	0.343387008	0.448597997	12.35999966	0.0010952	37.70785141
0.024395401	0.175649002	0.458332986	8.670000076	0.00157442	31.15306091
0.0139937	0.530435026	0.150000006	6.639999866	0.00316379	37.72702026
0.016493199	0.350347996	0.387097001	7.309999943	0.00164549	46.414608
0.031872001	0.377543002	0.426230013	9.899999619	0.0014782	38.4406662
0.072947897	0.182589993	0.548022985	7.059999943	0.00172948	27.59179115
0.056842301	0.204216003	0.367347002	12.14999962	0.00212751	48.76491928
0.0345231	0.33266899	0.432431996	6.980000019	0.00116911	34.71813583
0.031312998	0.161381006	0.288462013	12.27000046	0.00227837	31.33022308
0.045889501	0.172257006	0.421052992	9.590000153	0.00122733	32.74533463
0.0235277	0.266054988	0.423422992	5.860000134	0.00117887	28.51782608
0.0235277	0.266054988	0.423422992	5.860000134	0.00117887	28.51782608
