4	1	4
3.61	1.01	3.81
3.24	1.04	3.64
2.89	1.09	3.49
2.56	1.16	3.36
2.25	1.25	3.25
1.96	1.36	3.16
1.69	1.49	3.09
1.44	1.64	3.04
1.21	1.81	3.01
1	2	3
0.81	2.21	3.01
0.64	2.44	3.04
0.49	2.69	3.09
0.36	2.96	3.16
0.25	3.25	3.25
0.16	3.56	3.36
0.09	3.89	3.49
0.04	4.24	3.64
0.01	4.61	3.81
1.02552e-29	5	4
3.62	1.02	3.62
3.25	1.05	3.45
2.9	1.1	3.3
2.57	1.17	3.17
2.26	1.26	3.06
1.97	1.37	2.97
1.7	1.5	2.9
1.45	1.65	2.85
1.22	1.82	2.82
1.01	2.01	2.81
0.82	2.22	2.82
0.65	2.45	2.85
0.5	2.7	2.9
0.37	2.97	2.97
0.26	3.26	3.06
0.17	3.57	3.17
0.1	3.9	3.3
0.05	4.25	3.45
0.02	4.62	3.62
3.28	1.08	3.28
2.93	1.13	3.13
2.6	1.2	3
2.29	1.29	2.89
2	1.4	2.8
1.73	1.53	2.73
1.48	1.68	2.68
1.25	1.85	2.65
1.04	2.04	2.64
0.85	2.25	2.65
0.68	2.48	2.68
0.53	2.73	2.73
0.4	3	2.8
0.29	3.29	2.89
0.2	3.6	3
0.13	3.93	3.13
0.08	4.28	3.28
2.98	1.18	2.98
2.65	1.25	2.85
2.34	1.34	2.74
2.05	1.45	2.65
1.78	1.58	2.58
1.53	1.73	2.53
1.3	1.9	2.5
1.09	2.09	2.49
0.9	2.3	2.5
0.73	2.53	2.53
0.58	2.78	2.58
0.45	3.05	2.65
0.34	3.34	2.74
0.25	3.65	2.85
0.18	3.98	2.98
2.72	1.32	2.72
2.41	1.41	2.61
2.12	1.52	2.52
1.85	1.65	2.45
1.6	1.8	2.4
1.37	1.97	2.37
1.16	2.16	2.36
0.97	2.37	2.37
0.8	2.6	2.4
0.65	2.85	2.45
0.52	3.12	2.52
0.41	3.41	2.61
0.32	3.72	2.72
2.5	1.5	2.5
2.21	1.61	2.41
1.94	1.74	2.34
1.69	1.89	2.29
1.46	2.06	2.26
1.25	2.25	2.25
1.06	2.46	2.26
0.89	2.69	2.29
0.74	2.94	2.34
0.61	3.21	2.41
0.5	3.5	2.5
2.32	1.72	2.32
2.05	1.85	2.25
1.8	2	2.2
1.57	2.17	2.17
1.36	2.36	2.16
1.17	2.57	2.17
1	2.8	2.2
0.85	3.05	2.25
0.72	3.32	2.32
2.18	1.98	2.18
1.93	2.13	2.13
1.7	2.3	2.1
1.49	2.49	2.09
1.3	2.7	2.1
1.13	2.93	2.13
0.98	3.18	2.18
2.08	2.28	2.08
1.85	2.45	2.05
1.64	2.64	2.04
1.45	2.85	2.05
1.28	3.08	2.08
2.02	2.62	2.02
1.81	2.81	2.01
1.62	3.02	2.02
2	3	2
