DATE	M3	PRICE
10/11/2020	32	2.64
23/10/2020	47	2.6
14/10/2020	90	2.495
14/10/2020	45	2.525
30/09/2020	90	2.339
22/09/2020	90	2.34
23/06/2020	2	2.09
06/05/2020	21	1.79
06/05/2020	22	1.79
06/05/2020	23	1.79
06/05/2020	23	1.79
06/05/2020	23	1.79
06/05/2020	23	1.79
17/02/2020	45	2.67
14/02/2020	45	2.65
14/02/2020	45	2.65
14/02/2020	45	2.65
31/01/2020	45	2.63
31/01/2020	45	2.63
31/01/2020	45	2.63
30/01/2020	135	2.6
30/01/2020	45	2.6
15/01/2020	90	2.62
15/01/2020	45	2.62
23/12/2019	26	2.6
13/11/2019	19	2.42
30/10/2019	70	2.39
30/10/2019	45	2.39
11/10/2019	23	2.31
11/10/2019	45	2.31
11/10/2019	45	2.31
11/10/2019	32	2.31
08/10/2019	93	2.31
08/10/2019	45	2.31
03/10/2019	23	2.265
03/10/2019	23	2.265
03/10/2019	23	2.265
03/10/2019	23	2.265
03/10/2019	23	2.265
03/10/2019	23	2.265
18/09/2019	69	2.24
18/09/2019	23	2.24
18/09/2019	23	2.24
18/09/2019	23	2.24
13/09/2019	46	2.2
13/09/2019	23	2.2
13/09/2019	23	2.2
13/09/2019	23	2.2
13/09/2019	23	2.2
13/09/2019	23	2.2
13/09/2019	23	2.2
13/09/2019	23	2.2
30/08/2019	23	2.18
30/08/2019	23	2.18
30/08/2019	23	2.18
30/08/2019	23	2.18
30/08/2019	69	2.18
30/08/2019	23	2.18
28/08/2019	23	2.2
28/08/2019	23	2.22
28/08/2019	23	2.22
28/08/2019	23	2.24
28/08/2019	23	2.24
28/08/2019	23	2.2
22/08/2019	23	2.22
22/08/2019	23	2.22
22/08/2019	23	2.22
22/08/2019	23	2.22
22/08/2019	23	2.22
22/08/2019	23	2.22
22/08/2019	23	2.22
22/08/2019	23	2.2
22/08/2019	23	2.2
22/08/2019	23	2.22
06/08/2019	23	2.24
06/08/2019	23	2.24
06/08/2019	23	2.24
06/08/2019	23	2.24
06/08/2019	23	2.24
24/07/2019	92	2.24
24/07/2019	23	2.24
24/07/2019	23	2.24
24/07/2019	23	2.24
24/07/2019	23	2.24
12/07/2019	23	2.11
12/07/2019	23	2.11
12/07/2019	23	2.11
12/07/2019	23	2.11
12/07/2019	23	2.11
12/07/2019	23	2.11
12/07/2019	23	2.11
12/07/2019	23	2.11
12/07/2019	23	2.11
12/07/2019	23	2.11
12/07/2019	23	2.11
27/06/2019	23	2.13
27/06/2019	23	2.13
27/06/2019	23	2.13
27/06/2019	23	2.13
27/06/2019	23	2.13
27/06/2019	23	2.13
26/06/2019	23	2.11
26/06/2019	23	2.11
26/06/2019	23	2.11
26/06/2019	23	2.11
26/06/2019	23	2.11
26/06/2019	23	2.11
26/06/2019	23	2.11
26/06/2019	23	2.11
26/06/2019	23	2.11
26/06/2019	23	2.11
26/06/2019	23	2.11
26/06/2019	23	2.11
12/06/2019	45	2.17
12/06/2019	45	2.17
29/05/2019	23	2.13
29/05/2019	23	2.13
29/05/2019	23	2.13
29/05/2019	23	2.13
29/05/2019	23	2.13
29/05/2019	23	2.13
29/05/2019	161	2.13
29/05/2019	23	2.13
29/05/2019	23	2.13
29/05/2019	23	2.13
29/05/2019	23	2.13
24/05/2019	23	2.15
24/05/2019	23	2.15
24/05/2019	23	2.15
24/05/2019	23	2.15
24/05/2019	23	2.15
13/05/2019	46	2.2
13/05/2019	23	2.2
13/05/2019	23	2.2
08/05/2019	23	2.16
08/05/2019	23	2.16
08/05/2019	23	2.16
08/05/2019	23	2.16
03/05/2019	5	2.24
03/05/2019	23	2.24
02/05/2019	18	2.24
02/05/2019	23	2.24
02/05/2019	18	2.24
29/04/2019	23	2.27
29/04/2019	23	2.27
29/04/2019	23	2.27
29/04/2019	23	2.27
29/04/2019	46	2.27
29/04/2019	23	2.27
29/04/2019	23	2.27
26/04/2019	46	2.3
16/04/2019	7	2.58
11/04/2019	46	2.51
10/04/2019	46	2.575
09/04/2019	46	2.48
08/04/2019	20	2.43
04/04/2019	23	2.24
03/04/2019	23	2.17
03/04/2019	46	2.18
