Ano	AE (R$)	Custeio (R$)	Investimentos (R$)	Pessoal (R$)	Matrículas	Concluintes
2007	601630	22758942	1039141	152056480	7091	1043
2008	760897	26565814	1340754	191652674	7457	1171
2009	2121634	31962997	2859074	225196343	8452	970
2010	4305940	41589514	1747095	281410010	9829	982
2011	5133937	51171911	5872364	314658815	10555	959
2012	5191206	46751268	8172043	338982936	11395	969
2013	7607905	63808944	7159305	376327751	12740	941
2014	7840372	64346910	7665485	421191117	13153	1131
2015	9080828	70277746	3186247	457987209	13903	1426
2016	8008262	78684648	3277948	491777422	13910	1096
2017	8835722	80286292	782969	549232764	14563	2076
2018	7769797	82194235	636923	563825911	14256	1449
2019	7501703	80665914	868821	591694145	14536	1726
