Ano	AE (R$)	Custeio (R$)	Investimentos (R$)	Pessoal (R$)	Matrículas	Concluintes
2007	702050	67647120	2559147	593464209	20879	3187
2008	634571	71752133	3572682	701082514	21001	2934
2009	613643	87221549	11831644	712424647	27217	3028
2010	6561362	111804467	19413313	849123996	26029	3018
2011	9969186	131305656	29542028	994657450	29230	3601
2012	12462738	142838423	20880302	989398083	30924	3414
2013	21176153	185645007	39076396	1130872371	33367	3845
2014	27196481	194452635	49530836	1258149926	33499	3938
2015	23795271	194865031	23778904	1360293134	39771	3686
2016	24604823	226176854	29299906	1469553232	34607	4546
2017	25383064	236487793	12612118	1644602022	35835	5121
2018	29967667	242332587	5652062	1722746164	35527	4627
2019	28122687	235624395	12390054	1815977079	35430	4512
