Ano	AE (R$)	Custeio (R$)	Investimentos (R$)	Pessoal (R$)	Matrículas	Concluintes
2007	0	19600192	63788	141044335	5247	756
2008	205200	21781346	346562	150805757	5403	806
2009	687209	22713018	1110822	126448835	6254	828
2010	1437974	27879150	272702	153105252	6985	785
2011	1954692	34580615	1432549	171042467	7923	740
2012	2705848	44438245	2751522	182361309	8054	839
2013	8039569	55700554	2487754	215376722	8212	600
2014	5184267	58981972	4423498	239960577	8009	1047
2015	4915831	59637950	2742816	267316379	8194	919
2016	5880339	73827864	1338246	286726532	8308	926
2017	6488155	74375271	2294480	325392917	8945	997
2018	6512389	76954319	2159526	347346077	8947	1018
2019	7384309	66193577	488711	362722927	9453	991
