DATE	M3	PRICE
07/01/2021	5	2.655
07/01/2021	5	2.655
06/01/2021	5	2.655
30/12/2020	5	2.66
21/12/2020	5	2.62
17/12/2020	5	2.64
17/12/2020	5	2.64
04/12/2020	5	2.64
04/12/2020	5	2.64
04/12/2020	5	2.64
01/12/2020	5	2.645
25/11/2020	5	2.65
25/11/2020	5	2.65
09/11/2020	10	2.63
28/10/2020	5	2.6
15/09/2020	5	2.27
07/08/2020	5	2.125
24/07/2020	5	2.1
24/07/2020	5	2.1
20/07/2020	5	2.085
17/07/2020	5	2.09
07/07/2020	5	2.07
03/07/2020	5	2.08
29/06/2020	5	2.08
18/06/2020	5	2.05
17/06/2020	5	2.1
04/06/2020	5	2.03
04/06/2020	5	2.03
04/06/2020	5	2.03
19/05/2020	5	1.82
19/05/2020	5	1.82
07/05/2020	5	1.81
05/05/2020	5	1.815
30/04/2020	5	1.77
28/04/2020	5	1.75
02/04/2020	5	1.64
17/02/2020	5	2.66
17/02/2020	15	2.66
17/02/2020	5	2.66
17/02/2020	5	2.66
17/02/2020	5	2.66
17/02/2020	5	2.66
17/02/2020	5	2.66
17/02/2020	5	2.66
17/02/2020	10	2.66
17/02/2020	5	2.66
31/01/2020	5	2.63
31/01/2020	5	2.63
31/01/2020	10	2.63
31/01/2020	5	2.63
31/01/2020	5	2.63
23/01/2020	5	2.6
23/01/2020	5	2.6
23/01/2020	5	2.6
23/01/2020	5	2.6
23/01/2020	5	2.6
23/01/2020	10	2.6
23/01/2020	5	2.6
21/01/2020	5	2.62
17/01/2020	5	2.625
13/01/2020	10	2.64
08/01/2020	5	2.65
26/11/2019	5	2.48
26/11/2019	5	2.48
26/11/2019	5	2.48
26/11/2019	5	2.48
24/10/2019	5	2.35
24/10/2019	10	2.35
24/10/2019	10	2.35
24/10/2019	5	2.35
24/10/2019	10	2.35
24/10/2019	10	2.35
24/10/2019	5	2.35
04/10/2019	5	2.26
04/10/2019	10	2.26
04/10/2019	5	2.26
04/10/2019	5	2.26
04/10/2019	10	2.26
04/10/2019	5	2.26
04/10/2019	85	2.26
04/10/2019	5	2.26
04/10/2019	10	2.26
27/09/2019	10	2.25
27/09/2019	10	2.25
27/09/2019	10	2.25
26/09/2019	10	2.25
26/09/2019	5	2.25
26/09/2019	5	2.25
26/09/2019	5	2.25
16/09/2019	15	2.24
16/09/2019	5	2.24
16/09/2019	5	2.24
16/09/2019	5	2.24
13/09/2019	10	2.2
13/09/2019	15	2.2
05/09/2019	5	2.25
05/09/2019	10	2.25
05/09/2019	10	2.25
03/09/2019	5	2.24
03/09/2019	10	2.24
30/08/2019	5	2.19
27/08/2019	5	2.2
23/08/2019	5	2.22
22/08/2019	10	2.24
20/08/2019	5	2.27
07/08/2019	5	2.25
05/08/2019	5	2.26
17/07/2019	5	2.17
17/07/2019	5	2.17
17/07/2019	5	2.17
15/07/2019	5	2.15
12/07/2019	5	2.14
04/07/2019	10	2.18
04/07/2019	10	2.18
04/07/2019	5	2.18
28/06/2019	10	2.15
28/06/2019	5	2.15
28/06/2019	5	2.15
26/06/2019	5	2.117
24/06/2019	5	2.14
21/06/2019	5	2.15
12/06/2019	10	2.15
12/06/2019	5	2.15
12/06/2019	10	2.15
12/06/2019	5	2.15
10/06/2019	10	2.15
07/06/2019	5	2.14
06/06/2019	5	2.16
04/06/2019	5	2.14
29/05/2019	5	2.14
29/05/2019	10	2.16
28/05/2019	10	2.12
27/05/2019	5	2.13
24/05/2019	5	2.15
15/05/2019	5	2.28
13/05/2019	5	2.22
09/05/2019	10	2.165
08/05/2019	10	2.16
02/05/2019	5	2.26
30/04/2019	15	2.28
26/04/2019	10	2.3
15/04/2019	10	2.54
11/02/2019	10	2.2
08/02/2019	5	2.17
06/02/2019	5	2.14
30/01/2019	15	2.06
24/01/2019	30	2.12
22/01/2019	5	2.16
16/01/2019	15	2.15
15/01/2019	5	2.17
15/01/2019	10	2.17
07/01/2019	30	2.25
03/01/2019	30	2.26
02/01/2019	5	2.275
