DATE	M3	PRICE
10/03/2021	5	3.52
01/03/2021	5	3.45
04/01/2021	10	2.66
23/12/2020	5	2.64
21/12/2020	5	2.63
16/12/2020	5	2.63
30/11/2020	10	2.65
05/11/2020	10	2.62
21/10/2020	5	2.59
19/10/2020	5	2.55
14/10/2020	5	2.5
13/10/2020	5	2.445
09/10/2020	10	2.445
07/10/2020	10	2.38
01/09/2020	5	2.29
31/08/2020	10	2.3
21/08/2020	5	2.225
20/07/2020	5	2.085
07/07/2020	5	2.08
03/07/2020	5	2.08
01/07/2020	5	2.11
23/06/2020	5	2.09
17/06/2020	5	2.1
12/06/2020	5	2.12
10/06/2020	5	2.11
20/03/2020	5	2.23
12/03/2020	5	2.59
10/03/2020	5	2.59
09/03/2020	5	2.6
27/02/2020	5	2.68
26/02/2020	5	2.69
21/02/2020	5	2.7
21/02/2020	5	2.7
19/02/2020	10	2.68
17/02/2020	5	2.66
14/02/2020	5	2.67
14/02/2020	5	2.67
13/02/2020	5	2.65
12/02/2020	5	2.65
07/02/2020	10	2.65
05/02/2020	5	2.65
31/01/2020	5	2.65
31/01/2020	5	2.65
27/01/2020	10	2.62
24/01/2020	5	2.62
22/01/2020	10	2.62
20/01/2020	10	2.63
17/01/2020	5	2.63
16/01/2020	5	2.63
15/01/2020	5	2.65
13/01/2020	10	2.65
10/01/2020	5	2.65
09/01/2020	5	2.66
08/01/2020	5	2.66
07/01/2020	5	2.65
06/01/2020	5	2.64
30/12/2019	5	2.61
27/12/2019	5	2.62
27/12/2019	5	2.62
26/12/2019	5	2.58
23/12/2019	10	2.575
20/12/2019	5	2.56
20/12/2019	5	2.56
18/12/2019	5	2.56
17/12/2019	5	2.56
16/12/2019	10	2.56
13/12/2019	5	2.57
13/12/2019	5	2.57
12/12/2019	5	2.56
11/12/2019	5	2.56
09/12/2019	5	2.58
06/12/2019	5	2.58
06/12/2019	5	2.58
05/12/2019	5	2.57
04/12/2019	5	2.56
03/12/2019	5	2.56
02/12/2019	5	2.55
29/11/2019	5	2.51
29/11/2019	5	2.54
28/11/2019	5	2.53
27/11/2019	5	2.5
26/11/2019	5	2.48
19/11/2019	5	2.435
18/11/2019	10	2.44
14/11/2019	10	2.43
12/11/2019	10	2.43
07/11/2019	10	2.42
05/11/2019	5	2.41
31/10/2019	5	2.41
30/10/2019	5	2.38
23/10/2019	10	2.34
16/10/2019	10	2.33
11/10/2019	5	2.33
10/10/2019	10	2.33
02/10/2019	10	2.26
13/09/2019	5	2.235
12/09/2019	5	2.21
09/09/2019	5	2.26
06/09/2019	5	2.25
05/09/2019	10	2.25
29/08/2019	5	2.22
27/08/2019	5	2.2
23/08/2019	10	2.24
22/08/2019	10	2.24
16/08/2019	5	2.3
15/08/2019	5	2.3
13/08/2019	10	2.3
09/08/2019	5	2.3
02/08/2019	5	2.26
01/08/2019	5	2.24
30/07/2019	5	2.24
29/07/2019	5	2.27
26/07/2019	5	2.26
25/07/2019	5	2.25
23/07/2019	5	2.22
22/07/2019	5	2.22
19/07/2019	5	2.22
16/07/2019	5	2.18
12/07/2019	5	2.15
12/07/2019	5	2.15
08/07/2019	5	2.2
02/07/2019	5	2.18
01/07/2019	5	2.18
26/06/2019	5	2.11
21/06/2019	5	2.16
19/06/2019	5	2.18
18/06/2019	5	2.18
17/06/2019	5	2.19
07/06/2019	5	2.15
05/06/2019	5	2.17
04/06/2019	10	2.21
